Flight_Date,Flight_Number,Airline,Origin,Destination,Delay_Minutes,Cancelled,Delay_Reason
1/31/2023,AI581,SpiceJet,PNQ,CCU,122,No,Late Arrival
12/30/2023,AI2790,IndiGo,DEL,HYD,78,No,Operational
5/10/2022,AI214,SpiceJet,CCU,BLR,216,No,Technical
7/18/2023,AI8066,Vistara,BOM,HYD,230,No,Air Traffic
2/4/2023,AI630,Air India,BLR,BLR,172,No,Technical
12/31/2022,AI2237,AirAsia India,PNQ,HYD,205,No,Technical
9/20/2024,AI2187,GoAir,BLR,DEL,11,No,Operational
11/10/2022,AI3573,AirAsia India,HYD,HYD,53,No,Technical
6/26/2024,AI8445,Vistara,CCU,HYD,73,No,Late Arrival
5/1/2020,AI3627,IndiGo,MAA,BLR,129,No,Operational
4/11/2021,AI3312,GoAir,MAA,PNQ,97,No,Technical
5/23/2023,AI4799,Air India,MAA,BOM,42,No,Air Traffic
11/26/2020,AI6448,Vistara,BOM,BLR,223,No,Weather
1/22/2024,AI7969,GoAir,PNQ,BLR,18,No,Operational
3/28/2020,AI8652,Vistara,CCU,BLR,101,No,Operational
10/28/2023,AI3436,Vistara,CCU,MAA,14,No,Crew
1/28/2023,AI5157,Air India,MAA,PNQ,57,No,Technical
5/21/2022,AI3591,SpiceJet,MAA,MAA,217,No,Weather
8/14/2024,AI6212,GoAir,HYD,MAA,134,No,Air Traffic
5/10/2020,AI2837,Air India,DEL,BLR,288,No,Late Arrival
8/12/2024,AI8131,Vistara,DEL,BOM,7,No,Operational
8/25/2023,AI6441,Air India,BLR,BLR,156,No,Late Arrival
2/8/2022,AI5879,SpiceJet,BLR,DEL,103,No,Late Arrival
12/9/2020,AI1127,AirAsia India,CCU,BOM,289,No,Late Arrival
2/24/2024,AI4967,GoAir,CCU,MAA,238,No,Crew
12/8/2023,AI4641,SpiceJet,BOM,HYD,95,No,Late Arrival
3/16/2022,AI9032,IndiGo,BOM,HYD,61,No,Technical
1/20/2021,AI1495,GoAir,DEL,PNQ,89,No,Technical
4/30/2023,AI1486,SpiceJet,BLR,CCU,266,No,Weather
8/13/2022,AI8877,Vistara,DEL,PNQ,259,No,Weather
10/3/2020,AI395,GoAir,DEL,BOM,177,No,Air Traffic
3/30/2023,AI7799,GoAir,BLR,MAA,175,No,Late Arrival
4/4/2021,AI9700,Air India,PNQ,BOM,,Yes,
8/30/2023,AI9714,Vistara,BOM,BOM,22,No,Late Arrival
1/22/2020,AI4242,IndiGo,HYD,HYD,185,No,Crew
9/9/2020,AI642,AirAsia India,HYD,BLR,261,No,Late Arrival
1/17/2022,AI3765,SpiceJet,HYD,DEL,30,No,Late Arrival
5/6/2022,AI1706,Air India,BLR,CCU,225,No,Late Arrival
